persona_id,temperatura_lead,prioridade_retencao_mock,objecao_esperada,segmentacao_psicologica_mock,evento_vida_prioritario_mock,next_best_action_mock,produto_ou_tema_prioritario,melhor_canal_prescritivo_mock,urgencia,motivo_nba,mensagem_consultiva_sugerida,guardrail
PRM-014,Quente,Baixa,Já possui cartão premium em outro banco,Protetor familiar,Venda de imóvel,Oferecer diagnóstico de proteção familiar,Seguro de vida,E-mail corporativo validado,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como protetor familiar, conectando Seguro de vida ao momento de vida: Venda de imóvel.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-015,Quente,Média,Tem dúvida sobre custo-benefício da anuidade,Protetor familiar,Renovação de cartão premium,Solicitar consentimento Open Finance de forma transparente,Open Finance,Gerente Principal,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como protetor familiar, conectando Open Finance ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-016,Quente,Alta,Não usa todos os benefícios atuais,Empreendedor oportunista,Compra de imóvel planejada,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-017,Quente,Alta,Ainda não percebe valor no segmento Principal,Sofisticado internacional,Herança em organização,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Herança em organização.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-018,Quente,Média,Quer confirmar regras antes de contratar,Protetor familiar,Internacionalização patrimonial,Conduzir migração Prime para Principal,Trilha Principal,Videochamada,Alta,"Cliente Prime apresenta crescimento, aporte previsto ou uso de cartão compatível com evolução de segmento.","Abordar como protetor familiar, conectando Trilha Principal ao momento de vida: Internacionalização patrimonial.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-019,Quente,Alta,Ainda não percebe valor no segmento Principal,Empreendedor oportunista,Internacionalização patrimonial,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Internacionalização patrimonial.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-020,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Acumulador patrimonial,Filho entrando na faculdade,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como acumulador patrimonial, conectando Retenção/Relacionamento ao momento de vida: Filho entrando na faculdade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-021,Quente,Média,Não usa todos os benefícios atuais,Investidor de impacto,Abertura de empresa,Oferecer diagnóstico de proteção familiar,Seguro de vida,App Bradesco,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como investidor de impacto, conectando Seguro de vida ao momento de vida: Abertura de empresa.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-022,Quente,Alta,Ainda não percebe valor no segmento Principal,Investidor de impacto,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Agência,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como investidor de impacto, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-023,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Conservador de legado,Internacionalização patrimonial,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Videochamada,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como conservador de legado, conectando Retenção/Relacionamento ao momento de vida: Internacionalização patrimonial.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-024,Quente,Alta,Quer confirmar regras antes de contratar,Protetor familiar,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como protetor familiar, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-025,Morno,Baixa,Prefere manter investimentos pulverizados,Investidor de impacto,Liquidação de investimento relevante,Oferecer diagnóstico de proteção familiar,Seguro de vida,Videochamada,Média,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como investidor de impacto, conectando Seguro de vida ao momento de vida: Liquidação de investimento relevante.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-026,Morno,Alta,Tem dúvida sobre custo-benefício da anuidade,Sofisticado internacional,Renovação de cartão premium,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-027,Morno,Alta,Ainda não percebe valor no segmento Principal,Conservador de legado,Filho entrando na faculdade,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Agência,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como conservador de legado, conectando Retenção/Relacionamento ao momento de vida: Filho entrando na faculdade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-028,Morno,Baixa,Ainda não percebe valor no segmento Principal,Empreendedor oportunista,Herança em organização,Conduzir migração Prime para Principal,Trilha Principal,Gerente Principal,Média,"Cliente Prime apresenta crescimento, aporte previsto ou uso de cartão compatível com evolução de segmento.","Abordar como empreendedor oportunista, conectando Trilha Principal ao momento de vida: Herança em organização.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-029,Morno,Alta,Tem dúvida sobre custo-benefício da anuidade,Sofisticado internacional,Separação patrimonial,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Separação patrimonial.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-030,Morno,Alta,Prefere manter investimentos pulverizados,Sofisticado internacional,Compra de imóvel planejada,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Agência,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-031,Morno,Alta,Ainda não percebe valor no segmento Principal,Empreendedor oportunista,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-032,Morno,Alta,Quer confirmar regras antes de contratar,Acumulador patrimonial,Renovação de cartão premium,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como acumulador patrimonial, conectando Retenção/Relacionamento ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-033,Morno,Média,Já possui cartão premium em outro banco,Investidor de impacto,Renovação de cartão premium,Solicitar consentimento Open Finance de forma transparente,Open Finance,Gerente Principal,Média,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como investidor de impacto, conectando Open Finance ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-034,Morno,Alta,Ainda não percebe valor no segmento Principal,Otimizador de benefícios,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Agência,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como otimizador de benefícios, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-035,Morno,Baixa,Prefere manter investimentos pulverizados,Gastador planejado,Renovação de cartão premium,Agendar conversa de wealth planning,Wealth Planning,App Bradesco,Média,Evento patrimonial ou familiar indica oportunidade de planejamento sucessório e proteção.,"Abordar como gastador planejado, conectando Wealth Planning ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-036,Morno,Alta,Já possui cartão premium em outro banco,Acumulador patrimonial,Revisão sucessória familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como acumulador patrimonial, conectando Retenção/Relacionamento ao momento de vida: Revisão sucessória familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-037,Morno,Média,Ainda não percebe valor no segmento Principal,Acumulador patrimonial,Venda de imóvel,Solicitar consentimento Open Finance de forma transparente,Open Finance,App Bradesco,Média,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como acumulador patrimonial, conectando Open Finance ao momento de vida: Venda de imóvel.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-038,Morno,Baixa,Tem dúvida sobre custo-benefício da anuidade,Investidor de impacto,Revisão sucessória familiar,Conduzir migração Prime para Principal,Trilha Principal,App Bradesco,Média,"Cliente Prime apresenta crescimento, aporte previsto ou uso de cartão compatível com evolução de segmento.","Abordar como investidor de impacto, conectando Trilha Principal ao momento de vida: Revisão sucessória familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-039,Morno,Alta,Já possui cartão premium em outro banco,Gastador planejado,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como gastador planejado, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-040,Morno,Alta,Já possui cartão premium em outro banco,Sofisticado internacional,Planejamento de aposentadoria,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Agência,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Planejamento de aposentadoria.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-041,Morno,Alta,Já possui cartão premium em outro banco,Empreendedor oportunista,Planejamento de aposentadoria,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Planejamento de aposentadoria.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-042,Morno,Baixa,Prefere manter investimentos pulverizados,Gastador planejado,Venda de imóvel,Conduzir migração Prime para Principal,Trilha Principal,E-mail corporativo validado,Média,"Cliente Prime apresenta crescimento, aporte previsto ou uso de cartão compatível com evolução de segmento.","Abordar como gastador planejado, conectando Trilha Principal ao momento de vida: Venda de imóvel.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-043,Morno,Média,Já possui cartão premium em outro banco,Sofisticado internacional,Expansão da empresa familiar,Solicitar consentimento Open Finance de forma transparente,Open Finance,Gerente Principal,Média,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como sofisticado internacional, conectando Open Finance ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-044,Morno,Média,Quer confirmar regras antes de contratar,Investidor de impacto,Filho entrando na faculdade,Conduzir migração Prime para Principal,Trilha Principal,E-mail corporativo validado,Média,"Cliente Prime apresenta crescimento, aporte previsto ou uso de cartão compatível com evolução de segmento.","Abordar como investidor de impacto, conectando Trilha Principal ao momento de vida: Filho entrando na faculdade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-045,Morno,Baixa,Prefere manter investimentos pulverizados,Empreendedor oportunista,Venda de participação societária,Conduzir migração Prime para Principal,Trilha Principal,App Bradesco,Média,"Cliente Prime apresenta crescimento, aporte previsto ou uso de cartão compatível com evolução de segmento.","Abordar como empreendedor oportunista, conectando Trilha Principal ao momento de vida: Venda de participação societária.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-046,Nutrição,Alta,Já possui cartão premium em outro banco,Empreendedor oportunista,Renovação de cartão premium,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-047,Morno,Baixa,Tem dúvida sobre custo-benefício da anuidade,Gastador planejado,Saída de dependente da folha familiar,Oferecer diagnóstico de proteção familiar,Seguro de vida,WhatsApp oficial,Média,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como gastador planejado, conectando Seguro de vida ao momento de vida: Saída de dependente da folha familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-048,Nutrição,Alta,Tem dúvida sobre custo-benefício da anuidade,Empreendedor oportunista,Compra de imóvel planejada,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Videochamada,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-049,Nutrição,Alta,Tem dúvida sobre custo-benefício da anuidade,Gastador planejado,Nascimento de filho,Trabalhar retenção antes de oferta,Retenção/Relacionamento,E-mail corporativo validado,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como gastador planejado, conectando Retenção/Relacionamento ao momento de vida: Nascimento de filho.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRM-050,Morno,Alta,Prefere manter investimentos pulverizados,Otimizador de benefícios,Compra de imóvel planejada,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Agência,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como otimizador de benefícios, conectando Retenção/Relacionamento ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
